//アイテム番号	// ※0番にはアイテムを設定しないで下さい。																																																		
// <武器>	名前	効果説明文	アイテム説明文	強化Lv	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	進化先判定スクリプト	進化段階	特性スロット数	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	LV1攻撃力	LV1防御力	LV2必要経験値	LV2攻撃力	LV2防御力	LV3必要経験値	LV3攻撃力	LV3防御力	特性１タイプ	特性１効果値	特性１反応カテゴリ	特性１必要特性値	特性２タイプ	特性２効果値	特性２反応カテゴリ	特性２必要特性値	特性３タイプ	特性３効果値	特性３反応カテゴリ	特性３必要特性値	進化先アイテム１	進化先アイテム２	進化先アイテム３	進化先アイテム４
// <防具>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <腕>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <アクセサリ>	名前	効果説明文	アイテム説明文	効果ｶﾃｺﾞﾘ(0以外で有効。同じｶﾃｺﾞﾘ値のものは重複装備できない)	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <素材>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	経験値	特性値	カテゴリ１	カテゴリ２	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <衣装>	名前	サブ説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	同時装備判別用番号																																						
// <料理>	名前	効果説明文	アイテム説明文	効果時間	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <その他>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
0			■■■■■■■■■■■■■■■■■■■■■■■■■□■■□	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	20	0	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
// <武器>	名前	効果説明文	アイテム説明文08191011121314151617181920212223242526272829	強化Lv	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	進化先判定スクリプト	進化段階	特性スロット数	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	LV1攻撃力	LV1防御力	LV2必要経験値	LV2攻撃力	LV2防御力	LV3必要経験値	LV3攻撃力	LV3防御力	特性１タイプ	特性１効果値	特性１反応カテゴリ	特性１必要特性値	特性２タイプ	特性２効果値	特性２反応カテゴリ	特性２必要特性値	特性３タイプ	特性３効果値	特性３反応カテゴリ	特性３必要特性値	進化先アイテム１	進化先アイテム２	進化先アイテム３	進化先アイテム４
1	Short Sword	STR+9	A one-handed sword.$nSmall, sharp, and easy to wield.	0	EQ_WP_SWORD	0	2	1	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	19	0	20	32	0	WEAPON_ABILITY_TEST04	5	ITEM_TYPE_MATERIAL	10	WEAPON_ABILITY_TEST06	15	ITEM_TYPE_MATERIAL	20	WEAPON_ABILITY_STRDEFUP	30	ITEMCATEGORY_SHELL	40	0	0	0	0
2	Long Sword	STR+50	Methodically forged from tempered steel$nto prevent wear and tear.	0	EQ_WP_SWORD	1	3	2	0	1	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	10	62	1	20	70	2	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
3	Defender	STR+85/DEF+5	A sword that combines offensive$nand defensive attributes.	0	EQ_WP_SWORD	2	4	2	0	1	0	0		2	0	0	0	0	0	0	0	0	0	0	0	0	0	85	5	10	93	6	20	106	7	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
4	Liberacion	STR+132/DEF+7	A sword forged from orichalcum$nspecifically to slay Primordials.	0	EQ_WP_SWORD	3	5	3	0	1	0	0		3	0	0	0	0	0	0	0	0	0	0	0	0	0	132	7	10	141	7	20	149	8	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
5	Dunamis Edge	STR+160/DEF+8	Made for experienced warriors, the blade$nis exceptionally beautiful and durable.	0	EQ_WP_SWORD	4	6	3	0	1	0	0		4	0	0	0	0	0	0	0	0	0	0	0	0	0	160	8	10	170	9	20	179	9	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
6	Vorpal Blade	STR+196/DEF+10	A trenchant long sword, with power$ncomparable to siege weaponry.	0	EQ_WP_SWORD	5	7	4	0	1	0	0		4	0	0	0	0	0	0	0	0	0	0	0	0	0	196	10	10	205	10	20	215	11	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
7	Dainsleif	STR+223/DEF+11	Used during the Eternian era, this sword$ncan slice through Saurian scales.	0	EQ_WP_SWORD	6	8	4	0	1	0	0		5	0	0	0	0	0	0	0	0	0	0	0	0	0	223	11	10	233	11	20	242	12	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
8	Hyperion Blade	STR+265/DEF+12	A powerful sword, said to be capable$nof cleaving the heavens.	0	EQ_WP_SWORD	7	9	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	12	10	275	13	20	284	15	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	WEAPON_ABILITY_NONE	0	ITEMCATEGORY_NONE	0	0	0	0	0
