キャラＩＤ	NAME	LV	LV補正	HPMIN	HPMAX	STRMIN	STRMAX	DEFMIN	DEFMAX	EXPMIN	EXPMAX	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
//PC		レベル	補正力(0～1）	ＬＶ１ＨＰ	ＬＶ９９ＨＰ	ＬＶ１ＳＴＲ	ＬＶ９９ＳＴＲ	ＬＶ１ＤＥＦ	ＬＶ９９ＤＥＦ	ＬＶ１ＥＸＰ	ＬＶ９９ＥＸＰ																																																																						
ADOL	Adol	1	1	75	4000	2	410	1.5	385	100	250000	1	1	1	100	100	0	2.05	0.45	0.45	0.75						1	1	0.5	0.5	2	2	0.6	0.5	55	0	1																																							0	0	1			
SAHAD	Sahad	1	1	95	6400	4	660	2	310	105	275000	1	1	1	100	100	0	1.875	0.2	0.5	0.7						1	1	0.5	0.5	2	2	0.6	0.5	65	0	1																																							0	0	1			
LAXIA	Laxia	1	1	60	3600	1.75	374	1	395	95	225000	1	1	1	100	100	0	2.05	0.5	0.5	0.8						1	1	0.5	0.5	2	2	0.6	0.5	45	0	1																																							0	0	1			
HUMMEL	Hummel	1	1	85	4400	3	528	3	440	90	210000	1	1	1	100	100	0	2	0.5	0.5	0.7						1	1	0.5	0.5	2	2	0.6	0.5	55	0	1																																							0	0	1			
RICOTTA	Ricotta	1	1	55	3400	1.5	390	2.5	418	97	240000	1	1	1	100	100	0	1.85	0.45	0.5	0.8						1	1	0.5	0.5	2	2	0.6	0.5	35	0	1																																							0	0	1			
DANA	Dana	1	1	80	4200	2.5	480	0.5	330	102	260000	1	1	1	100	100	0	2.4	0.4	0.5	0.8						1	1	0.5	0.5	2	2	0.6	0.5	48	0	1																										ZOKU_WATER	100												0	0	1			
DANACOPY	Dana's Past Episode	1	1	80	4200	2.5	480	0.5	330	102	520000	1	1	1	100	100	0	2.4	0.4	0.5	0.8						1	1	0.5	0.5	2	2	0.6	0.5	48	0	1																										ZOKU_WATER	100												0	0	1			
DANAOLD	Past Dana	1	1	80	4200	2.5	480	0.5	330	102	520000	1	1	1	100	100	0	2.4	0.4	0.5	0.8						1	1	0.5	0.5	2	2	0.6	0.5	48	0	1																										ZOKU_WATER	100												0	0	1			
DANA2	Dana Earth	1	1	80	4200	5	600	2.5	495	102	520000	1	1	1	200	400	0	1.92	0.4	0.5	0.8						1	1	0.5	0.5	2	2	0.6	0.5	48	0	1																										ZOKU_EARTH	100												0	0	1			
